Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
5/22/2003,Nurse shark,NR,,,,
5/22/2003,Caribbean reef shark,M,110,122,153,E
5/22/2003,L.analis,,,,,
5/22/2003,Caribbean reef shark,M,75,82,96.4,P
5/22/2003,Caribbean reef shark,M,130,141,170,E
5/23/2003,Caribbean reef shark,F,95,104,131,E
5/23/2003,Caribbean reef shark,,,,,E
5/23/2003,Nurse shark,M,100,,152,E
5/23/2003,Nurse shark,M,115,,169,E
5/25/2003,Nurse shark,F,123,,170,E
5/25/2003,Caribbean reef shark,M,156,170,193,E
5/25/2003,Nurse shark,F,125,,170,E
5/25/2003,Nurse shark,M,130,,181,E
5/25/2003,Nurse shark,M,131,,187,E
5/25/2003,Nurse shark,F,152,,221,E
5/25/2003,Nurse shark,F,160,,240,E
5/26/2003,Caribbean reef shark,M,66,81,94,E
5/26/2003,Nurse shark,,,,,
5/26/2003,Caribbean reef shark,F,157,174,209,D
5/26/2003,Caribbean reef shark,M,64,72,85,D
5/26/2003,Caribbean reef shark,F,100,109,135,E
5/26/2003,Nurse shark,F,149.5,,212,E
5/26/2003,Nurse shark,F,99,,170,E
5/26/2003,Nurse shark,F,100,,140,E
5/26/2003,Nurse shark,M,160,,224,E
5/26/2003,Nurse shark,F,130,,183,E
5/26/2003,Nurse shark,,,,,
5/26/2003,Nurse shark,,,,,
5/26/2003,Southern stingray,F,,,,
5/27/2003,Caribbean reef shark,M,63.3,71.3,88.1,G
5/27/2003,Caribbean reef shark,F,84.6,98,117,G
5/27/2003,Caribbean reef shark,M,66.3,74,93,G
5/27/2003,Nurse shark,M,118,,177.5,E
5/27/2003,Nurse shark,M,94,,136,E
5/27/2003,Nurse shark,M,153,,217,E
5/27/2003,Nurse shark,M,111,,158,E
5/28/2003,Caribbean reef shark,M,107,117,148,E
5/28/2003,Caribbean reef shark,F,85,99,120,E
5/28/2003,Caribbean reef shark,M,,,190.2,G
5/25/2003,Caribbean reef shark,F,71,79,98,E
5/1/2004,Caribbean reef shark,F,73.2,83,103,G
5/1/2004,C. latus,,,,,
5/1/2004,Nurse shark,F,99,,145,E
5/1/2004,Nurse shark,F,94,,136,E
5/1/2004,,,,,,
5/1/2004,Southern stingray,F,,,,
5/2/2004,Caribbean reef shark,M,141,160,197,E
5/2/2004,Nurse shark,F,114,,165,E
5/2/2004,Nurse shark,F,142,,208,E
5/2/2004,Nurse shark,F,106,,155,E
5/2/2004,Nurse shark,M,89,,128,E
5/2/2004,Nurse shark,F,101,,144,E
5/2/2004,Nurse shark,F,168,,238,E
5/2/2004,Nurse shark,F,106,,153,E
5/2/2004,Nurse shark,F,104,,141,E
5/2/2004,Nurse shark,F,116,,164,E
5/2/2004,Nurse shark,M,87,,137,E
5/2/2004,Nurse shark,M,99,,140,E
5/2/2004,Nurse shark,M,120,,182,E
5/2/2004,Nurse shark,F,113,,171,E
5/2/2004,Nurse shark,F,116,,168,E
5/3/2004,Caribbean reef shark,M,68,74,94,P
5/3/2004,Caribbean reef shark,M,71,80,100,G
5/3/2004,Caribbean reef shark,M,63,72,88,E
5/3/2004,M. bonaci,,,,,
5/3/2004,M. venenosa,,,,,
5/3/2004,Caribbean reef shark,F,74,76,91,E
5/3/2004,Caribbean reef shark,F,72,80,98,E
5/3/2004,Caribbean reef shark,F,68,75,93,E
5/3/2004,Caribbean reef shark,M,67,74,92,P
5/3/2004,Caribbean reef shark,NR,,,EST. 200,E
5/3/2004,Nurse shark,M,113,,169,E
5/4/2004,Caribbean reef shark,M,137,154,188,E
5/4/2004,Caribbean reef shark,M,70,78,96,D
5/4/2004,Caribbean reef shark,F,65,72,91,
5/4/2004,Caribbean reef shark,M,51,57,71,
